1,2,3,4,5,6,7,8,9,10,11,12
1.756,2.027,2.1128,0,T-H,0.0,0.0,1.1911,1.5495,1.2146,5502.0,32.0
1.8959,2.2239,2.579,0,T-H,0.0,0.0,1.1911,1.5473,1.2975,5502.0,32.0
1.8862,2.3092,2.4533,0,T-H,0.0,0.0,1.1532,1.3844,1.2268,5502.0,32.0
1.8554,2.4221,2.1508,0,T-H,0.0,0.0,1.1532,1.4365,1.2423,5500.0,32.0
1.8554,2.5357,2.2598,0,T-H,0.0,0.0,1.1532,1.5749,1.211,5500.0,32.0
1.882,2.6031,2.1214,0,T-H,0.0,0.0,1.2586,1.6128,1.2143,5500.0,32.0
1.6847,2.7872,2.4704,0,T-H,0.0,0.0,1.2292,1.6441,1.4327,5500.0,32.0
1.6847,2.4673,2.4704,0,T-H,0.0,0.0,1.193,1.5035,1.4327,5500.0,32.0
1.6018,2.3359,2.3894,0,T-H,0.0,0.0,1.1385,1.46,1.4237,5500.0,32.0
1.6581,2.5706,2.3825,0,T-H,0.0,0.0,1.1328,1.4173,1.4636,5502.0,32.0
1.4795,2.442,2.0085,0,T-H,0.0,0.0,0.9902,1.4489,1.3489,5502.0,32.0
1.4731,2.2601,1.9688,0,T-H,0.0,0.0,0.9857,1.4257,1.3976,5502.0,32.0
1.5632,2.52,1.9386,0,T-H,0.0,0.0,1.0265,1.4744,1.3694,5502.0,32.0
1.7113,2.6435,1.9888,0,T-H,0.0,0.0,1.0371,1.5544,1.3121,5506.0,32.0
1.4875,2.3166,2.2273,0,T-H,0.0,0.0,0.9592,1.386,1.3869,5506.0,32.0
1.5113,2.2548,2.3746,0,T-H,0.0,0.0,0.9168,1.386,1.3756,5506.0,32.0
1.5087,2.1125,2.3887,0,T-H,0.0,0.0,0.9219,1.3524,1.3324,5506.0,32.0
1.7523,2.1725,2.509,0,T-H,0.0,0.0,0.9415,1.3694,1.3324,5504.0,32.0
1.8584,2.4505,2.7498,0,T-H,0.0,0.0,1.0086,1.4391,1.4977,5504.0,32.0
1.7682,2.3773,2.8058,0,T-H,0.0,0.0,0.9449,1.414,1.4353,5504.0,32.0
1.8155,2.3385,2.7557,0,T-H,0.0,0.0,0.9479,1.3789,1.4185,5502.0,32.0
1.9231,2.3362,3.0678,0,T-H,0.0,0.0,1.0855,1.2909,1.697,5502.0,32.0
1.7451,2.0191,3.3171,0,T-H,0.0,0.0,1.015,1.3494,1.7753,5502.0,32.0
1.7062,2.0191,3.2721,0,T-H,0.0,0.0,0.9763,1.3494,1.8187,5497.0,32.0
1.8979,2.194,2.8483,0,T-H,0.0,0.0,1.0418,1.3612,1.7363,5497.0,32.0
1.8307,2.5016,3.066,0,T-H,0.0,0.0,1.0705,1.3458,2.012,5497.0,32.0
1.7601,2.4581,3.086,0,T-H,0.0,0.0,1.0573,1.363,1.9579,5502.0,32.0
1.6786,2.2501,3.0395,0,T-H,0.0,0.0,1.0435,1.3292,1.7499,5502.0,32.0
1.422,2.0816,3.0572,0,T-H,0.0,0.0,1.0243,1.2634,1.6398,5502.0,32.0
1.4511,2.2417,3.0289,0,T-H,0.0,0.0,1.1173,1.2905,1.6567,5502.0,32.0
1.571,2.1566,2.7274,0,T-H,0.0,0.0,1.1167,1.2514,1.7379,5501.0,32.0
1.5809,2.0115,2.831,0,T-H,0.0,0.0,1.1167,1.2203,1.7379,5501.0,32.0
1.7707,2.0772,2.4721,0,T-H,0.0,0.0,1.1354,1.2176,1.6624,5501.0,32.0
